Ngày Bán,Mã HĐ,Chi Nhánh,Sản Phẩm,SL,Thành Tiền,SĐT Khách
2026-08-24T18:03:00Z,Q7-1-3,Q7,Latte,1,50000,0007000003
2026-08-24T18:04:00Z,Q7-1-4,Q7,Latte,1,50000,0007000004
2026-08-24T18:05:00Z,Q7-1-5,Q7,Latte,1,50000,0007000005
2026-08-24T18:06:00Z,Q7-1-6,Q7,Latte,1,50000,
2026-08-24T18:07:00Z,Q7-1-7,Q7,Latte,1,50000,
2026-08-24T18:08:00Z,Q7-1-8,Q7,Latte,1,50000,
2026-08-24T18:09:00Z,Q7-1-9,Q7,Latte,1,50000,
2026-08-31T18:00:00Z,Q1-2-0,Q1,Latte,1,50000,0001000000
2026-08-31T18:01:00Z,Q1-2-1,Q1,Latte,1,50000,0001000001
2026-08-31T18:02:00Z,Q1-2-2,Q1,Latte,1,50000,0001000002
2026-08-31T18:03:00Z,Q1-2-3,Q1,Latte,1,50000,0001000003
2026-08-31T18:04:00Z,Q1-2-4,Q1,Latte,1,50000,0001000004
2026-08-31T18:05:00Z,Q1-2-5,Q1,Latte,1,50000,0001000005
2026-08-31T18:06:00Z,Q1-2-6,Q1,Latte,1,50000,
2026-08-31T18:07:00Z,Q1-2-7,Q1,Latte,1,50000,
2026-08-31T18:08:00Z,Q1-2-8,Q1,Latte,1,50000,
2026-08-31T18:09:00Z,Q1-2-9,Q1,Latte,1,50000,
2026-08-31T18:00:00Z,Q7-2-0,Q7,Latte,1,50000,0007000000
2026-08-31T18:01:00Z,Q7-2-1,Q7,Latte,1,50000,0007000001
2026-08-31T18:02:00Z,Q7-2-2,Q7,Latte,1,50000,0007000002
2026-08-31T18:03:00Z,Q7-2-3,Q7,Latte,1,50000,0007000003
2026-08-31T18:04:00Z,Q7-2-4,Q7,Latte,1,50000,0007000004
2026-08-31T18:05:00Z,Q7-2-5,Q7,Latte,1,50000,0007000005
2026-08-31T18:06:00Z,Q7-2-6,Q7,Latte,1,50000,
2026-08-31T18:07:00Z,Q7-2-7,Q7,Latte,1,50000,
2026-08-31T18:08:00Z,Q7-2-8,Q7,Latte,1,50000,
2026-08-31T18:09:00Z,Q7-2-9,Q7,Latte,1,50000,
2026-09-07T18:00:00Z,Q1-3-0,Q1,Latte,1,50000,0001000000
2026-09-07T18:01:00Z,Q1-3-1,Q1,Latte,1,50000,0001000001
2026-09-07T18:02:00Z,Q1-3-2,Q1,Latte,1,50000,0001000002
2026-09-07T18:03:00Z,Q1-3-3,Q1,Latte,1,50000,0001000003
2026-09-07T18:04:00Z,Q1-3-4,Q1,Latte,1,50000,0001000004
2026-09-07T18:05:00Z,Q1-3-5,Q1,Latte,1,50000,0001000005
2026-09-07T18:06:00Z,Q1-3-6,Q1,Latte,1,50000,
2026-09-07T18:07:00Z,Q1-3-7,Q1,Latte,1,50000,
2026-09-07T18:08:00Z,Q1-3-8,Q1,Latte,1,50000,
2026-09-07T18:09:00Z,Q1-3-9,Q1,Latte,1,50000,
2026-09-07T18:00:00Z,Q7-3-0,Q7,Latte,1,50000,0007000000
2026-09-07T18:01:00Z,Q7-3-1,Q7,Latte,1,50000,0007000001
2026-09-07T18:02:00Z,Q7-3-2,Q7,Latte,1,50000,0007000002
2026-09-07T18:03:00Z,Q7-3-3,Q7,Latte,1,50000,0007000003
2026-09-07T18:04:00Z,Q7-3-4,Q7,Latte,1,50000,0007000004
2026-09-07T18:05:00Z,Q7-3-5,Q7,Latte,1,50000,0007000005
2026-09-07T18:06:00Z,Q7-3-6,Q7,Latte,1,50000,
2026-09-07T18:07:00Z,Q7-3-7,Q7,Latte,1,50000,
2026-09-07T18:08:00Z,Q7-3-8,Q7,Latte,1,50000,
2026-09-07T18:09:00Z,Q7-3-9,Q7,Latte,1,50000,
2026-09-14T18:00:00Z,Q1-4-0,Q1,Latte,1,50000,0001000000
2026-09-14T18:01:00Z,Q1-4-1,Q1,Latte,1,50000,0001000001
2026-09-14T18:02:00Z,Q1-4-2,Q1,Latte,1,50000,0001000002
2026-09-14T18:03:00Z,Q1-4-3,Q1,Latte,1,50000,0001000003
2026-09-14T18:04:00Z,Q1-4-4,Q1,Latte,1,50000,0001000004
2026-09-14T18:05:00Z,Q1-4-5,Q1,Latte,1,50000,0001000005
2026-09-14T18:06:00Z,Q1-4-6,Q1,Latte,1,50000,
2026-09-14T18:07:00Z,Q1-4-7,Q1,Latte,1,50000,
2026-09-14T18:08:00Z,Q1-4-8,Q1,Latte,1,50000,
2026-09-14T18:09:00Z,Q1-4-9,Q1,Latte,1,50000,
2026-09-14T18:00:00Z,Q7-4-0,Q7,Latte,1,50000,0007000000
2026-09-14T18:01:00Z,Q7-4-1,Q7,Latte,1,50000,0007000001
2026-09-14T18:02:00Z,Q7-4-2,Q7,Latte,1,50000,0007000002
2026-09-14T18:03:00Z,Q7-4-3,Q7,Latte,1,50000,0007000003
2026-09-14T18:04:00Z,Q7-4-4,Q7,Latte,1,50000,0007000004
2026-09-14T18:05:00Z,Q7-4-5,Q7,Latte,1,50000,0007000005
2026-09-14T18:06:00Z,Q7-4-6,Q7,Latte,1,50000,
